Sample_ID,Siders.Pond,MC1.D0H20.D01,MC1.D10H11.D01,MC1.D15H11.D01,MC1.D16H11.D1,MC1.D17H15.D1,MC1.D18H18.D1,MC1.D19H20.D1,MC1.D21H11.D10,MC1.D21H19.D10,MC1.D22H19.D10,MC1.D22H9.D10,MC1.D23H13.D10,MC2.D0H20.D01,MC2.D6H19.D01,MC2.D9H11.D01,MC2.D10H12.D01,MC2.D15H11.D01,MC2.D16H11.D1,MC2.D17H15.D1,MC2.D18H18.D1,MC2.D19H20.D1,MC2.D21H11.D10,MC2.D21H19.D10,MC2.D22H9.D10,MC2.D23H13.D10,Max Rel Abun.,Kingdom,Phylum,Class,Order,Family,Genus
ASV_7,0,0,0,0.02120413,0.012167727,0.026042393,0.018351866,0.033189856,0.312622758,0.629304082,2.528146448,1.633247345,8.207681651,0,0,0.029237755,1.495012703,0.064172929,16.82232233,3.043828532,0.693968126,0.868447993,13.82116267,1.243273487,2.070601769,3.118830721,16.82232233,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Arcicella
ASV_6,0,0,8.994221429,1.343811707,0.584050917,0.506896584,0.524727441,0.500959394,2.08557025,1.404934153,0.095499445,0.262316616,0.049333284,0,16.25587959,13.8827738,0.601063329,12.75859157,3.903797896,0.536649385,0.491080435,0.726912956,4.861246898,10.50899337,3.389172478,15.61199248,16.25587959,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
ASV_12,0,0,1.015569506,0.237221199,0.055222763,0.108820001,0.199831435,0.28937406,0.00621972,0.279349617,0.040846148,0.073986738,0.03843407,0,0.185458944,0.020638415,0.646937047,0.557291227,1.037533862,4.632986395,2.431770368,1.075254042,0.600135369,4.420985074,15.06218995,8.259401089,15.06218995,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus
ASV_43,2.299721494,14.73164448,0,0,0,0,0,0,0,0,0,0,0,10.38783232,0.009407338,0,0,0,0,0,0,0,0,0,0,0,14.73164448,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA
ASV_15,0,0,0,0,0,0.004650427,0.009515783,0.009334647,0,0.004093035,0,0.008308671,0.00200775,0,0,0,0.009409993,0,0.008441474,0.543146351,5.4249402,14.68803892,1.131834248,1.260552603,0.0683011,0.08622125,14.68803892,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter
ASV_48,1.572739187,11.49420352,0,0,0,0,0,0,0,0,0,0,0,8.67768595,0,0,0,0,0,0,0,0,0.007520493,0,0,0,11.49420352,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,NA
ASV_36,9.100589777,8.943752684,0,0,0,0,0,0,0,0,0,0,0,9.596236184,0,0.003439736,0,0,0,0,0,0,0.012032789,0,0,0,9.596236184,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_14,0,0,0,0,0,0.072546667,0.223620891,0.159726184,0.009165903,0.031721019,0.0135195,0.009891275,0.017209285,0,0,0,0.017643738,0.020265136,0.011511101,0.035733313,0.083575896,0.151840986,3.154094909,8.038902694,9.470846215,6.251932545,9.470846215,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
ASV_17,0,0,0,0,0.025271434,0.138582736,0.073407466,0.044598869,0,0.007162811,0,0,0,0,0.081978229,0,0,0,0.080577704,1.129822373,2.660019021,0.966698043,9.18628262,3.654944295,1.677331224,0.925243203,9.18628262,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium
ASV_45,6.155799476,8.591670245,0,0,0,0,0,0,0,0,0,0,0,8.431245644,0.094073377,0.053315905,0.039992472,0.221227729,0.005371847,0,0,0,0,0,0,0,8.591670245,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas
ASV_21,0,0,0,0.599016658,0.451141894,0.535729234,0.422772627,0.544521081,0.123084981,0.165767904,0.218900836,0.228290629,0.233759454,0,0.013439054,0.024078151,1.631457608,0.01351009,8.477541843,0.012344235,0.016138794,0.008931823,0.181995939,0.072407721,0.151700338,0.05173275,8.477541843,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Roseivirga
ASV_67,8.134010485,0.283383426,0.007679165,0,0,0,0,0,0,0,0,0,0,0.303694115,0.060475743,0.068794717,0.005881246,0.021953897,0,0,0.002305542,0,0.029329924,0.017279115,0,0,8.134010485,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Candidatus_Aquirestis
ASV_29,0,0,7.982491505,3.941317572,1.406776488,0.364593506,0.031945842,0.017632111,0.008838549,0.027627984,0.001150596,0.005539114,0,0,0.025534202,2.055242157,0.223487344,4.537701596,0,0,0.001152771,0.001374127,0.005264345,0.00493689,0,0.002378517,7.982491505,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
ASV_58,3.360501311,3.185916702,0,0,0,0,0,0,0,0,0,0,0,7.19904411,0,0,0,0,0,0,0,0,0,0,0,0,7.19904411,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group
ASV_49,6.692332896,4.976384714,0.128626005,0.014577839,0,0.004650427,0,0,0,0,0,0,0,4.622622722,0.388388657,0.175426527,0.016467488,0.113147007,0.00460444,0.004547876,0,0,0.003008197,0,0,0.001783888,6.692332896,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita
ASV_19,0,0,0.080631227,3.645785017,6.67633845,5.422398318,1.174519453,0.185655759,0.028807123,0.051162933,0.005177681,0.007517369,0.002868214,0,0.06988308,0.202944414,2.069022302,0.903487292,0.544858759,0.246884705,0.008645782,0.006870633,0.035346319,0.013987855,0.012941261,0.011297957,6.67633845,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_30,0,0,0,0,0,0,0.002039096,0.013483379,0.008183842,0.01534888,0.010355361,0.002373906,0.000860464,0,0,0,0,0,0.00920888,0.00389818,0.029972045,0.024047215,1.05061292,0.398242467,1.130203465,5.63768047,5.63768047,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV_32,0,0,0,0.026505162,0.074878323,0.27344513,3.385579511,5.518850801,0.019313867,0.016883768,0.002013543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.518850801,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Diplosphaera
ASV_94,0,0,5.342778706,0.084816518,0,0,0,0,0,0,0,0.001978255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.342778706,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
ASV_74,0,0,5.041371499,0.481068688,0.112317484,0.069756411,0.020390963,0.011409013,0.00360089,0.010232587,0,0.004747812,0,0,0,0.029237755,0.295238543,0.033775226,0.049114029,0.024038774,0.021902648,0.015115392,0.058659848,0.071584906,0.035228988,0.00832481,5.041371499,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
ASV_88,0,0,5.035612125,0.210716037,0.112317484,0.068826325,0.004757891,0.006223098,0.017349745,0.027627984,0.001150596,0.002373906,0,0,0.022846392,0.03267749,0.004704997,0.028708942,0,0,0,0,0.003008197,0,0,0.004757034,5.035612125,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
ASV_71,0,0,4.987617347,0.223968618,0.082366155,0.041853846,0.08224355,0.051859151,0.003273537,0.011767475,0.000575298,0.007121718,0.001720928,0,0.127671012,0.502201431,0.109391173,0.829181795,0.035300708,0.020790291,0,0,0.006768444,0.007405335,0,0.001783888,4.987617347,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter
ASV_33,0.010239187,0,0,1.306704481,3.009172595,4.938753871,0.603572497,0.097495203,0.003273537,0.008697699,0.016683638,0.006330416,0.003728678,0,0,0,0,0,0,0,0,0,0,0,0,0,4.938753871,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,NA
ASV_22,0.006143512,0,0.107508303,0.185536133,0.027143392,0.041853846,0,0.021780843,0.086094016,0.136093403,0.060981573,0.060930255,0.055643355,0,0.317161672,3.814667034,1.776136257,4.90922908,1.811079818,0.651645681,0.373497795,0.405367338,0.729487854,0.680468017,1.143144726,1.230882668,4.90922908,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Flectobacillus
ASV_28,0,0,0.01727812,0,0.095469861,0.677102226,0.520649248,0.062230981,0,0.010232587,0,0,0,0.119486209,0.014782959,0.015478811,0.003528748,0.016887613,0.080577704,0.419703998,0.136026975,0.04603324,2.225313981,4.907268748,0.898698684,0.286016697,4.907268748,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola
ASV_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.143529096,3.006329114,0.454032182,4.735286667,0.038370335,0.02858665,0.006916626,0,0,0,0,0,4.735286667,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
ASV_38,0.069626474,0,0.149743708,0.023854646,0.029951329,0.229731112,3.04165194,4.528341026,0.001964122,0,0,0,0,0,0.247278592,0.153068244,0,0.185763742,0,0.004547876,0,0,0,0,0,0,4.528341026,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
ASV_40,0,0,1.65294016,0.390951138,0.098277799,0.044644103,0,0,0,0.011255845,0,0.028486872,0,0.014935776,0.942077678,4.423500275,1.138609203,3.912859917,0.449700328,0.273522265,0.057062163,0.034353164,0.063924193,0.152220778,0.033791071,0.050543491,4.423500275,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,NA
ASV_82,0,0,0,0.005301032,0.007487832,0.014881368,0.012914276,0,0,0,0,0,0,0,4.35156565,0.001719868,0.011762492,0.008443806,0.032998488,0.003248483,0,0.002748253,0.009024592,0.009050965,0.02732044,0.007730181,4.35156565,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
ASV_80,0,0,0.702643552,0,0,0,0,0,0,0,0,0,0,0,4.260180083,0.039556962,0,0.084438065,0,0,0,0,0,0,0,0,4.260180083,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
ASV_31,0,0.055817948,0,0,0,0.036273334,0.129822463,0.028003941,0.008838549,0.014325621,0.006040628,0.007121718,0.00602325,0.079657473,0,0,0,0,0,0.015592718,0.04726361,0.14428329,2.247123411,4.193065315,1.470271048,0.625550032,4.193065315,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
ASV_73,3.829456094,3.499355947,0,0,0,0,0,0,0,0,0,0,0,3.173852435,0,0,0,0,0,0.001299393,0,0,0.004512296,0,0,0,3.829456094,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga
ASV_52,0,0,0.145904126,0.010602065,0,0.009300855,0.00543759,0.009334647,0.000982061,0.003069776,0.000575298,0,0,0,3.249563231,2.125756742,0.310529783,3.803090433,0.00230222,0.003248483,0,0.00412238,0.057155749,0.045254826,0.005751672,0.092167543,3.803090433,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
ASV_66,1.722231324,0.553885788,0,0.099394357,0.042119057,0.031622906,0.00543759,0.003111549,0,0,0,0,0,1.067907996,3.791157103,0.034397358,0.069398701,0.07768302,0,0,0,0,0.008272543,0,0,0,3.791157103,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
ASV_89,2.662188729,0.996135681,0,0,0,0,0,0,0,0,0,0,0,3.636861496,0.053756216,0,0,0,0,0,0,0,0,0,0,0,3.636861496,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
ASV_26,0,0,0.105588512,2.679671866,0.254586297,0.847307868,0.534243223,0.773738526,0.028152416,0.222558761,0.19358773,0.335907703,0.689231864,0,0.002687811,0.025798019,3.625199962,0.526893524,1.1334597,0.162424148,0,0,0.006016395,0.004114075,0.003594795,0.006540922,3.625199962,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,NA
ASV_50,0,0,2.148246271,0.060961872,0.032759266,0.026972479,0.006796988,0,0,0,0,0,0,0,2.93508937,3.429416621,0.081161193,1.862703707,0.026091828,0.011044842,0,0,0,0.012342225,0,0,3.429416621,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospira
ASV_25,0,0,2.031139012,0,0,0.094868718,0.29566896,0.126536327,0.004582951,0.010232587,0.001150596,0.003165208,0.006310071,0,0.451552211,0.268299395,0.039992472,0.116524529,0,0.031185436,0.053027465,0.104433619,0.645258329,3.427024536,2.801783018,2.034821492,3.427024536,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter
ASV_92,2.516792267,1.14641477,0,0,0,0,0,0,0,0,0,0,0,3.390421189,0.018814675,0,0,0,0,0,0,0,0,0,0,0,3.390421189,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter
ASV_95,0,0,3.144617866,0.204089746,0.055222763,0.110680172,0.316739621,0.246849557,0.005892366,0,0,0,0,0,0,0,0,0.096259394,0.014580727,0,0,0,0,0,0,0,3.144617866,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
ASV_47,0.204783748,0.090167454,3.113901208,0.36842175,0.157244478,0.08835812,0,0.01037183,0,0.004604664,0,0,0,0.069700289,2.466066389,2.910016511,0.175261127,1.570548003,0.064462163,0.022089684,0,0,0.003760247,0.013987855,0.002875836,0.003567776,3.113901208,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Arenibacter
ASV_68,3.102473788,1.069128381,0,0,0,0,0,0,0,0,0,0,0,1.351687743,2.666308292,0.020638415,0,0.018576374,0,0,0,0,0,0,0,0,3.102473788,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Nevskia
ASV_109,3.008273263,1.253756977,0,0,0,0,0,0,0,0,0,0,0,1.169969133,0.002687811,0,0,0,0,0,0,0,0,0,0,0,3.008273263,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV_54,0,0,2.004261936,0.471791881,0.263010109,0.177646326,0.161088606,0.058082249,0.011130025,0.043488493,0.009780064,0.009891275,0.004875964,0,0.573847601,2.825742983,0.121153665,2.234231191,0.054485876,0.031835133,0.00634024,0,0.031586072,0.057597051,0.014379179,0.020812026,2.825742983,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Falsirhodobacter
ASV_76,0.006143512,0,0.015358329,0.010602065,0,0,0,0,0,0,0,0,0,0,0.147829593,0.390410017,2.512468241,0.395170143,0.161922814,0.041580582,0.003458313,0.008931823,0.097014364,0.183487748,0.071895895,0.132007706,2.512468241,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans
ASV_37,0,0,0,0.014577839,0.012167727,0.02883265,0.068649575,0.035264222,0,0,0,0.022947758,0.003728678,0,0,0,0.612825821,0,1.862496067,0.843955873,0.767745468,2.404034436,0.197036926,0.120953807,0.0683011,0.023785172,2.404034436,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_55,0,0,1.088521569,0.626847078,0.163796331,0.083707693,0.004757891,0.006223098,0.001964122,0.012279104,0,0.004747812,0,0,0.059131837,1.279581728,2.240754681,2.276450224,0.323845628,0.013643628,0.001152771,0,0.021809431,0.027975711,0,0.002378517,2.276450224,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas
ASV_112,0,0.562473164,0,0.045058775,0.012167727,0.084637778,0.07136837,0.028003941,0.002291476,0.006651181,0.002301191,0,0.001434107,0.186697202,2.245665905,0,0.003528748,0,0,0,0,0,0,0,0,0,2.245665905,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella
ASV_60,0,0,2.23271708,0.063612389,0.034631224,0.021391966,0,0,0.002291476,0.00767444,0,0,0.00200775,0,0.403171617,1.2864612,0.470499671,1.055475808,0.042974775,0.005847269,0.016715179,0.061835696,0.189516432,0.329126006,0.176144942,0.220012844,2.23271708,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium
ASV_44,0,0,0.059513525,0.73021721,1.723137402,1.876912488,2.219216443,0.821448945,0.002291476,0.004093035,0,0,0,0.017425072,0.100792904,0.046436434,0.024701233,0.064172929,0.017650354,0,0,0,0,0,0,0,2.219216443,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,RS62_marine_group
ASV_117,1.320855177,2.215543152,0,0,0,0,0,0,0,0,0,0,0,2.103455143,0,0,0,0,0,0,0,0,0.012032789,0,0,0,2.215543152,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
ASV_130,2.191186107,1.039072563,0,0,0,0,0,0,0,0,0,0,0,0.886189386,0.024190297,0,0,0,0,0,0,0,0.020305332,0,0,0,2.191186107,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_69,0,0,0,0,0,0,0,0,0,0.002558147,0.000575298,0,0.003155036,0,0,0,0,0,0,0.002598786,0.001729156,0,0.051139355,0.110257212,0.338629664,2.143638656,2.143638656,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307
ASV_161,0,0,2.109850448,0.058311356,0.035567203,0.012091111,0,0,0.000982061,0,0.000575298,0,0.001434107,0,0.006719527,0,0,0,0,0,0,0,0,0,0.002875836,0,2.109850448,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,RS62_marine_group
ASV_91,0,0,0.702643552,0.088792292,0.026207413,0.052084787,0.01087518,0.004148732,0,0,0,0,0,0,0,0.046436434,2.066669803,0.113147007,0.178038355,0.170220507,0,0,0,0,0,0,2.066669803,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_39,0,0,0,0.125899519,0.069262449,0.198108206,0.184198363,0.11720168,0.010147964,0.021488432,0.004314734,0.04747812,0.005449607,0,0,0.00859934,0.164674885,0,0.50725583,1.028469705,1.786795009,2.013095426,0.047379108,0.063356756,0.008627507,0.017838879,2.013095426,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter
ASV_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520091386,1.960649422,0.104686177,1.882968842,0.051416249,0.017541808,0,0,0,0.032089786,0,0,1.960649422,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
ASV_42,0,0,1.581907888,0.397577428,0.295769375,0.794292996,1.935102363,0.696986983,0.122757627,0.078790918,0.004314734,0.025321664,0,0,1.448730009,0.983764447,0.05763621,0.871400827,0.14427246,0,0,0,0,0,0,0,1.935102363,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
ASV_147,0.153587811,0.072992701,0,0,0,0,0,0,0,0,0,0,0,0.047296625,1.800833221,0,0,0,0,0,0,0,0,0,0,0,1.800833221,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
ASV_85,0,0,1.021328879,0.261075845,0.089853987,0.054875043,0.03262554,0.03111549,0.005237659,0.028139613,0.004027085,0.00791302,0.0040155,0,0.094073377,1.298500275,0.135268655,1.771510597,0.045276995,0.044829065,0.00634024,0.004809443,0.009776641,0.01316504,0,0.000594629,1.771510597,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum
ASV_72,0,1.59725204,1.699015147,0.091442808,0.065518532,0.323669745,0.116908186,0.025929575,0.005565012,0.013302363,0,0,0,0,0.026878108,0.020638415,0.010586243,0,0.023789608,0.598370561,0.05360385,0.044659114,0.280514402,0.366975497,0.055359839,0.02556906,1.699015147,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum
ASV_59,0,0,0.368599896,1.697655618,0.501684762,1.026814364,0.938663984,0.541409532,0.005892366,0.032744277,0.004602383,0.010682577,0.002581393,0,0,0,0,0,0,0,0,0,0.007520493,0.005759705,0,0,1.697655618,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV_162,0.360419397,1.640188922,0,0,0,0,0,0,0,0,0,0,0,1.291944638,0.108856337,0,0,0,0,0,0,0,0,0,0,0,1.640188922,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Arcicella
ASV_155,0.092152687,0.051524259,0,0,0,0,0.009515783,0,0,0,0,0,0,0.049785921,1.626125521,0.00859934,0,0.010132568,0,0,0,0,0,0,0,0,1.626125521,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus
ASV_173,1.607552425,0.283383426,0,0,0,0,0,0,0,0,0,0,0,0.273822563,0.005375622,0,0,0,0,0,0,0,0.003008197,0,0,0,1.607552425,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila
ASV_127,0,0,0.827429976,1.482963807,0.140396855,0.077197094,0.014953373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.482963807,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda
ASV_157,0.96043578,1.472735079,0,0,0,0,0,0,0,0,0,0,0,1.117693916,0,0,0,0,0,0,0,0,0.004512296,0,0,0,1.472735079,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NA
ASV_136,0,0,0.182380157,0,0,0,0,0,0,0,0,0,0,0,1.452761726,0.450605394,0,0.305665794,0,0,0,0,0,0,0,0,1.452761726,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA
ASV_166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.450073915,0.013758943,0,0.011821329,0,0,0,0,0,0,0,0,1.450073915,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
